stress,defect_size,distance_from_surface,defect_circularity,N,cycle
40.0,54.35,13.29,0.517,270000.0,5.431363764
50.0,63.58,20.75,0.321,2790000.0,6.445604203
50.0,55.9,3.12,0.433,4010000.0,6.603144373
75.0,73.15,24.64,0.629,974000.0,5.988558957
60.0,27.72,6.495,0.464,4930000.0,6.692846919
65.0,48.3,13.34,0.397,2480000.0,6.394451681
60.0,33.35,122.6,0.812,1100000000.0,9.041392685
70.0,5.98,3.706,0.244,2790000.0,6.445604203
65.0,73.15,240.2,0.629,474000000.0,8.675778342
80.0,27.72,6.695,0.484,93300.0,4.969881644
65.0,48.8,13.34,0.397,2480000.0,6.394451681
233.25143337249756,189.77375103235244,189.18082154989244,0.10709630250930785,-56372541.107135266,5.559836631180281
207.74497184157372,201.16607352256776,210.29658637940886,0.15384114742279054,27668543.277339227,5.275945483561968
148.6577767431736,151.96038905024528,206.26867128610613,0.09226346492767334,-65833698.383537084,5.580858363504219
191.70936119556427,134.21694462060927,177.1769246220589,0.039026683568954466,29589974.353037626,4.885587972893423
255.54567748308182,180.77649173498153,276.9514640361071,0.09893272399902343,19953423.479777575,5.812958882578906
136.11475363373756,128.71966655850412,184.75603343546393,0.1131196427345276,81490932.00876504,5.236711045788955
206.04085731506348,142.37550560116767,210.81421470344068,0.0766679072380066,41667857.22977966,5.491859314716461
159.5375358760357,119.59223212718965,188.5597246795893,0.17049447536468507,83308293.56709018,4.873077291667968
201.21384358406067,140.60816468954087,172.15333266556263,0.08848386406898498,20639008.291607946,5.0107524765410805
227.597187936306,162.8353439128399,224.19475232362748,0.09995423793792724,63655679.1207096,5.732515168588455
253.2696229815483,184.32718921422958,225.0967883884907,0.12987820625305174,-31010633.967677318,5.726094185489815
154.31973612308502,131.79377291917802,213.74869624078275,0.11822110414505005,59808297.1072191,5.449472000171837
219.57825833559036,177.14723495602607,206.1765760481358,0.08441361188888549,-62938937.74869308,5.55435771098949
131.2315475344658,115.69547260046006,180.44729674458506,0.12407652378082276,9063580.002790987,5.74707515842314
208.80759179592133,154.42520735621451,199.38024315834048,0.16785356521606445,63637116.13314435,5.06378304865177
205.3756614625454,174.61671706676483,247.16774311959745,0.0379253363609314,48521951.49407059,5.554733126429344
147.512627273798,142.9293435025215,170.85684271752837,-0.0169739282131195,67171599.11694229,5.301284799905817
190.24644458293915,129.01007198929787,202.86590175926688,0.041001662015914916,10170547.705694828,5.194409846949311
127.57793007791042,136.8418310022354,210.33522538840774,0.11650945425033568,67295434.32317227,5.136452215344416
187.73288238048553,173.63042695879938,194.32570639550687,0.18450324535369872,120613022.48204142,5.308158273532575
190.90755215287209,154.483577491045,188.366798427701,0.0726901912689209,-34766469.30926904,5.698729158078669
181.34101393818855,156.32148462176323,205.4724221080542,0.1651000738143921,-22374460.11480447,5.539172999216728
162.74394363164902,143.28412125229835,204.99079526066782,0.1899755096435547,69885975.04701316,5.644597316267477
155.11364832520485,142.50982474923134,203.2693602114916,0.15427510738372802,-13846533.475954495,5.778228204237815
164.41680431365967,137.04527112603188,199.26397334039214,0.12438929796218873,87036733.1353116,5.010380662024833
185.854574739933,159.83761423945427,230.4969258874655,0.19992669105529787,-67751627.89789453,5.14491423258953
189.92450308799744,158.0220493912697,219.5175674825907,0.027458716630935673,-12343509.27152399,5.724400065855924
196.60646745562553,173.1218192756176,301.2117722153664,0.13895628929138185,-2815937.0677571,5.4380940009592
134.42444244027138,113.92218112051488,162.59204269051554,0.06379261910915375,-13106657.047732957,5.100314188796245
201.92410737276077,165.38162675261498,183.53977822959425,0.05170439302921295,3044857.0590440184,5.332716419299942
150.07211810350418,148.53384977340698,273.1655467361212,0.09975396633148192,4409748.868808523,6.098638233537262
179.94399398565292,148.9851343858242,198.55304917395117,0.056108835935592655,-96920547.67512575,5.517180396596088
185.9542212486267,181.86456826806068,191.7229659497738,0.1677250909805298,44138447.4520731,5.720201082468849
200.82314363121986,140.05736474871637,217.8063129723072,0.07050217390060425,-10124609.393434785,5.660220421335515
136.09180545806885,120.62485113322737,204.99098005592825,0.08110222101211548,102910201.96311042,5.409345605959889
149.95388066768646,126.64737929821015,167.37145290970804,0.07891153216361999,-19951002.670209818,4.944345162769811
192.4222393333912,170.94318864941596,251.0385822415352,0.1260546064376831,-37266670.16029239,5.08300883948068
187.9527028799057,143.52962090730668,189.65463659763338,0.08198089122772217,41123715.82673289,5.275451314258486
257.5114743709564,177.12502539992332,233.92386999428274,0.11590951919555664,-44220430.86687073,5.615679907704835
165.49579891562462,127.17710523128511,138.24131923019888,0.07800753831863402,94416082.08969384,5.2882381173707245
165.32160580158234,144.71355541825295,173.96432621777058,0.09636679410934448,-41789925.223906934,5.767281856165614
173.23949027061462,136.9566393649578,182.0457589477301,0.08853037357330322,-41089457.23970637,5.041014561916965
189.34410682320595,158.7388163602352,236.81272390186788,0.08112322807312011,18135557.893313244,5.0258486975315915
137.49613052606583,148.95388468503953,164.42658923864366,0.09260118007659912,12988993.153138962,5.6297205983861875
164.5594208240509,93.29895657241346,185.1733179330826,-0.0036268055438995334,89634158.14593166,5.248153248703347
152.3524653017521,149.67075488567352,190.68607974350454,0.1393837761878967,-18880262.502033897,5.216717645308636
108.9818657040596,87.63908125877381,100.45940744876863,0.06970348715782165,-10267474.735261463,4.65823937051794
173.7907951772213,111.4874400985241,183.42952265739441,0.022773165702819825,-28813489.255368225,5.037230067821648
214.90265092253685,183.79138736009597,256.46880776882176,0.18404455184936525,-10649032.232206948,5.056959298416944
214.2637922167778,171.19728602766992,171.97537482976915,0.12277361392974853,-34659140.000150055,5.3846975137177475
179.44534185528755,168.20604520201684,156.21749658286572,0.15572890758514404,80687183.331718,5.610286949988231
162.70479294657707,167.91485816001892,219.68527758121493,0.13214274883270263,2558000.7078004256,5.24685599682016
192.48441350460052,128.24264776587486,183.90187614262106,0.08556973695755005,1582417.3642925918,5.537403796494866
124.95279541611671,157.18062280893326,175.47667382955552,0.12133793830871581,143184844.97691154,5.14638624419074
184.58387196063995,149.42805723309516,174.7602730035782,0.11649424076080322,73762787.3864846,4.969747303738289
195.4175088107586,145.11667508363723,165.69739264547826,0.20839931011199953,-51557400.47966361,5.24147116033552
197.28224980831146,153.77992094397544,236.10232052206996,0.08637390613555908,-5917052.149911709,5.295625067380728
179.59837272763252,110.75105173885824,127.47966644167902,0.10739909887313842,7248388.224138208,5.51089747444084
194.18998044729233,191.90636982917786,294.2481828153134,0.12019119739532472,53694296.45400643,5.322672140898936
155.09390622377396,134.44695952534676,182.08523793518546,0.25141201496124266,25904618.94624248,5.564027340104601
177.98228538036346,142.30939309120177,161.05696526169777,0.10345808982849122,48538920.44142328,5.029468928218124
154.99062329530716,96.87069119095803,170.45907931923867,0.08367622971534729,17851603.6015163,5.257596096246628
238.9644855260849,180.10442407846452,273.2182973831892,0.16147634506225586,-58108487.77871728,5.59354709890972
164.8836323916912,120.62614890277386,137.46134883463384,0.06850106358528138,-30661145.773311444,5.413597607200918
135.42608243227005,124.3917525947094,187.66968350708487,0.11015477895736694,42469114.45065901,4.806225608600544
168.5225696861744,135.69688856720924,163.81106982529164,0.07500048518180846,55077111.996135265,5.388717523540027
165.36753442883492,142.94266038775444,164.98015184104443,0.16551100254058837,-36093120.54509118,5.525064886986993
217.6864378452301,138.02688631415367,262.4398786246777,0.15895156383514403,135193056.75772756,5.860561560352465
202.53455251455307,164.53203012108804,214.7216096878052,0.0647245454788208,-59627317.15821162,5.104450730635671
152.25757411122322,93.24478206753732,193.73115284442903,0.06332092046737671,34608029.33332518,5.693581063167326
216.6262601017952,180.6203612101078,239.60765141844752,0.10976562261581421,-112702939.0279521,6.206185256746503
166.33347725868225,120.15937954008581,162.1728094428778,0.09167645454406738,11727207.88015658,5.05855435434395
175.51970836520195,149.51471284508705,238.45513377785684,0.10258939743041992,37922563.452318534,5.5407951003784826
180.28242847323418,113.31094641149045,189.6441032677889,0.07115512013435364,113735628.18523481,5.519656452960419
176.20766949653625,142.32650005340577,229.56582656800748,0.15911449909210204,8549806.295130346,5.131358593979549
193.87529027462006,159.04433785676957,208.12887077629568,0.1588893222808838,42372627.893217206,5.993851356580305
151.5704629123211,133.10406299233438,175.84085488915446,0.09097566127777099,85253202.92915836,5.259711294096323
290.68465995788574,245.35443345427512,303.77276573181155,0.11313170909881592,-52388227.35137537,5.709969249578707
239.1691363453865,158.36864234447478,180.01050794720652,0.0389278781414032,33998560.96609183,5.630118538752433
201.97389835119247,164.24143297433852,194.2360638946295,0.047369869947433474,79440897.94846311,5.469633188369153
233.45802074670792,177.00484899044037,196.4897596925497,0.15207382202148437,8902327.87835829,5.379982142562382
148.09948948025703,156.53303580522538,177.82370803356173,0.06535079121589661,93980986.9696711,5.391462040251551
147.5934784412384,130.89005339860915,169.71907509863377,0.07929773092269898,28154780.862330645,4.929864086792891
136.80676001310349,139.89493709206582,196.23546461462976,0.08989301800727845,7385953.074923903,4.832316138901081
151.62361058592796,129.46547112107277,145.38011133670807,0.06392870545387268,52973650.95307931,5.564779856523019
156.42416882514954,125.95150936841966,151.9792004853487,0.208424129486084,32934239.985558502,5.39019114406455
205.94600915908813,160.5151089322567,197.2471514672041,0.11069873809814454,-46945772.48231128,5.302310373595183
157.11026871204376,121.3626183730364,145.56956007778646,0.1330014705657959,55034773.6324434,4.907494842886063
154.30296340584755,138.83125272750854,166.1359117984772,0.1689926815032959,24584630.716553032,5.102522397736549
210.70720154047012,157.85061108469964,169.34096719622613,0.0816165828704834,-9878483.847710378,5.536337616645679
193.10845756530762,145.15812997221946,168.2537326812744,0.0722210156917572,-30482658.345192336,5.42709248980196
199.70787090063095,156.30240151047707,195.529479521513,0.02863162159919739,-42304820.7015115,5.135092138836601
145.187491863966,106.29861826181413,116.26973395049573,0.10092585563659667,39161657.21456304,4.913105388326992
176.9971061050892,222.37171639680864,253.42734657526017,0.12856433868408204,18463669.967450835,5.357433465398383
173.05660417675972,119.42531389296056,116.37476485669613,0.07473468899726868,60357999.21095595,5.177178508106174
149.24112087488174,120.4324199295044,228.6209516018629,0.1352119255065918,22925826.98590029,5.140113665113937
232.90670508146286,167.58259966135026,222.13080765902998,0.14479125976562499,-82674843.86952206,5.30058330934106
180.8317322731018,175.35215422034264,170.052395349741,0.2137494230270386,-6973859.832939319,5.426128668121681
296.2889207601547,191.76401335835456,262.5157958775759,0.21355202674865723,-81752496.9615449,5.61973056368547
170.7864561676979,148.8567289376259,239.9622231245041,0.05905415177345276,-3688872.826934755,5.354294685859616
151.19182339310646,115.17862113118173,172.72357724010945,0.12751204013824463,8307499.889452476,4.901422689684905
232.18632817268372,174.95819267868995,198.6005415558815,0.05549612283706665,34943203.94809604,5.073885324907463
207.45894268155098,163.93775490045547,219.17075717747213,0.09252802729606628,-23338141.42798487,5.075611010084461
205.3591361939907,155.07640746831893,236.7474239766598,0.09028476357460022,1423714.0650840849,5.499567130004446
196.20199644565582,164.90388533830642,294.02447975277903,0.13175893545150758,319874.00020655245,5.494659147743818
166.41743767261505,115.4703317052126,146.28050104379656,0.11422944068908691,112058574.94793266,5.226405355657176
139.4225292801857,114.57844695806504,173.35996171832085,0.12254262208938599,-978824.1628393531,5.426907693467077
123.88907270133495,144.47181634545325,209.13133466541768,0.1401773452758789,5281705.256236047,6.045238834910765
141.32194536924362,129.84697112560272,167.12377686202527,0.12917209148406983,82628289.94489864,5.404168397198106
146.98371109366417,135.82657703757286,173.84041259586812,0.1491488265991211,41442446.01123899,5.604725591631462
152.82386580109596,104.95496961236002,183.3782167732716,0.1572233772277832,21762515.69838822,5.077545472215254
195.92177695035934,175.54081746816635,321.1655276477337,0.05070583701133728,-1623131.9385229796,5.506787977836163
179.47755321860313,131.71303100705148,91.23602400720121,0.028124548196792602,117756428.66092429,5.0683621976332445
198.23010736703873,172.74922668933868,241.39598235189916,0.09163631081581115,144570389.64701355,5.153303541823946
157.28086844086647,149.91395394921304,208.07979923486712,0.07791318535804748,57601825.82544014,5.366815786778911
194.5903524160385,149.56582726836206,210.77384533882142,0.10296841144561766,77958784.76512432,5.493721681759723
174.6907445192337,134.1141553735733,178.00252264738086,0.10078742504119872,74587385.61777711,5.603000212916049
233.1731750369072,156.775821942091,227.97823368608954,0.04598098278045654,-102430534.11926165,5.615772459103068
125.84237343072891,122.99191642284394,141.66861612796785,0.07402860641479492,44834350.49849272,5.411392156414867
246.34811753034592,141.97573359131812,165.0758421868086,0.09965685606002808,9113669.33579404,5.479772010168687
246.81553733348846,169.87214534163476,255.46247997879985,0.09732964992523194,-108625179.27474454,6.032299260699125
171.6226713359356,144.92933910012246,158.56807549595834,0.10232422351837159,105165486.11638546,5.41792561091467
144.80540958046913,141.8574300992489,180.52643951475622,0.13264925003051758,75708417.95954868,4.988241111074879
215.06244897842407,165.4803309750557,196.7758731544018,0.08540005683898926,-59608541.085579395,4.832511354929806
183.1116168498993,146.15292931914328,156.39159051775934,0.07924535274505615,11940863.564353362,5.231856234613073
174.9883069396019,118.601967599988,175.76614720523358,0.02481191992759705,-13267208.45011849,4.791044344520596
167.51607754826546,149.64566959023475,171.528035902977,0.1341613006591797,20111803.05359587,4.544840693216908
204.1878109574318,128.53926184415818,192.9217832028866,0.09530870914459227,32712822.063128725,5.312679041582382
196.75792756676674,140.50692391753196,147.82412945330145,0.14646694660186768,-25787140.396088175,5.6490903495439735
191.95016103982925,175.05530418395998,225.58201034367087,0.1321666097640991,-52617629.817132056,5.9116874737213605
194.17343366146088,199.50773050546647,249.74978649616244,0.05094528317451477,130311154.939657,5.463941430608583
127.0440649241209,128.4187757396698,140.2433910816908,0.19293357849121093,45243080.43926716,5.488571441617294
174.2946222126484,147.56276421546937,205.39161618053916,0.15267862796783446,-28767958.713461496,5.753813022799175
238.60185486078262,154.13449223041533,150.09176889359952,0.1318876028060913,59947220.375306755,5.441438416220533
160.59631499648094,185.29564973831177,241.26630647778512,0.15791650295257567,-28795114.766131453,5.81047547113657
168.00309959053993,155.6898690319061,183.60149984657767,0.12518346786499024,57258431.044431776,6.279763924803746
144.88096749782562,112.79327646255494,138.59261502027513,0.04962398409843445,12092625.20772621,5.3667414698449
213.2004514336586,164.94250872969627,185.14417068064213,0.13877206802368164,-20340931.951613538,5.133008966222388
211.75013318657875,170.58261517882346,207.20684322416784,0.1320443296432495,-43210546.97426468,5.966496289170625
187.66012170910835,141.24534004211426,216.6600951701403,0.09634944200515747,15478143.289655335,5.880265201405534
222.88081604242325,181.56649419903755,295.2543762087822,0.1270132064819336,-90374918.63201842,6.290294864199437
231.3659389615059,150.4372795188427,243.2878658294678,0.10554801702499389,6854135.774548762,5.878906350744051
200.84629622101784,152.2433175587654,221.1209015607834,0.16776005268096925,30781636.198931634,5.168312574493935
176.6874402165413,136.75184248208998,137.05701680481434,0.10234881401062013,1235686.9824281335,5.139298477301681
180.6992934346199,159.25494520783425,207.65517332553864,0.13540533065795898,64608784.03854653,5.142514178697922
195.88482102751732,203.41931115031244,206.29943129718305,0.14488760471343995,-24082328.731022887,5.818672705573492
151.58038237690926,109.419525436759,179.9511382699013,0.054100587368011474,26126182.340208367,5.159864271404686
167.88395842909813,126.57909892320635,187.30535125136376,0.03649964570999146,51457665.43967113,5.618649060757106
151.11424285173416,94.04932544946672,151.19786932468415,0.12873348236083984,-8887546.086011156,5.355338034320828
149.3774113059044,136.09447796463965,242.09756595790387,0.0347594428062439,-18772961.877443157,6.098316295643738
134.43282341957092,115.96248868465425,144.46409803032876,0.11972510814666748,62980338.783252984,5.4864827526945765
158.28904968500137,149.34066425204276,231.23871086239816,0.10958910465240479,5999420.837492272,5.633949921470035
252.51223635673523,174.46185481667519,214.9813814252615,0.046142884492874146,12363339.54084251,5.98742470394237
181.83934330940247,165.2975519323349,189.61856792271138,0.20277845859527588,52109591.00649908,5.195222429838106
229.7275704741478,145.1010871016979,248.32637580335143,0.1188313603401184,2664381.3785924017,5.844356025044881
226.4368903040886,187.20173401236534,207.0265502482653,0.1006743860244751,57216313.96138638,5.196543738955603
202.28232699632645,157.3059165596962,197.81252416670324,0.18987786293029785,-25043985.736067034,5.597212685910618
173.67298808693886,129.49111681699753,188.0827345132828,0.1013532781600952,22044074.83207658,5.078791774860175
240.43738615512848,180.32513338565826,264.06068425476553,0.12612794876098632,-115382352.61588022,5.856973354901414
211.42193016409874,140.76543076276778,199.46259464621545,0.060248407125473025,52088159.56610918,5.381122792576373
167.08596870303154,141.35554722189903,245.62524028122428,0.027819148302078246,51446601.40734747,5.6561584262762885
198.7677595615387,169.47570623993875,271.3605674296618,0.09844551324844361,106258276.49120346,5.073814532281663
228.57026374340057,164.70152177333833,207.6241109222174,0.0924992311000824,112005303.68118912,5.653768945309312
180.00062745809555,148.35683695673941,211.226022541523,0.1404657220840454,26308865.905030966,4.97980062275601
199.13316595554352,204.9785222709179,268.9839491844177,0.18937878608703612,19779097.357149087,4.72928628281804
141.98554894328117,157.57164962172507,191.10628736615183,0.12016574859619139,-90566285.41332021,5.085666704179454
222.14253675937653,156.77520255208015,181.3692738980055,0.06487820386886597,50398628.55901979,4.9833235518897645
133.75593292713165,98.78621378898622,179.795960649848,0.13057289123535157,31247958.525740467,5.053326349574694
202.249556183815,182.63877628684045,260.3490042507649,0.12204362392425536,-5007855.049240701,5.301480628857709
217.44120544195175,178.41202935814857,230.8853823244572,0.13782119274139404,-27426223.513571434,5.4746731023415025
166.57720345258713,165.84467977523803,173.54885607361794,0.1348614501953125,7396890.075765327,5.4688276540967795
156.4198976457119,121.0928666496277,149.09350489676,0.08969181299209594,34253308.26144919,5.11518914452343
282.25640720129013,216.23264705181123,253.22020788788797,0.11554893016815185,-45228257.66902253,5.690744148288359
220.04492503404617,130.09823700666428,137.91628116667272,0.09139960050582885,29182215.588433817,5.276803269534338
183.98868256807327,166.99957669258117,168.3270460009575,0.10546981811523437,14835666.2015423,4.851573418657702
174.54937601089478,140.25813559651374,188.00921959877016,0.15707225799560545,16614095.683904849,5.594411627036928
218.76094609498978,154.73981323957443,189.53438528180124,0.08962128162384034,-2149099.644030705,5.438306532067395
140.8718684911728,119.43683159768582,171.42712089121343,0.09073385119438171,76351123.49944025,5.254491487174427
215.0570051074028,196.46767584800722,203.41823799312115,0.16041168689727783,-14569867.12695729,5.492095903058965
181.75664165616035,190.13989901304245,188.5489057570696,0.18937973022460938,-2864713.0591454357,5.836247511236398
223.4158000946045,161.9398386836052,196.05009816884996,0.07641170263290406,33933912.18610879,5.294090461001078
181.45115011930466,181.74104420304297,170.96630870997907,0.21632648944854738,34041690.20320535,5.2987492899942765
160.47792693972588,137.7999978542328,235.7494623720646,0.06198558270931244,83103592.5779435,5.956319466134731
161.21932622790337,152.59980600476266,178.51707665026188,0.01718222260475159,65398477.29675278,5.67172927964433
223.21790570020676,204.96623770236968,297.00986398458485,0.08653802871704101,-36303853.48074913,5.384225562879073
188.43806809186935,143.5483795762062,183.7162577033043,0.127457594871521,55048665.139694214,5.213605834389221
200.63726663589478,147.04256509065627,218.02584974169733,0.13041225910186768,46148200.23913741,5.79708754362819
129.70043191313744,117.4151426023245,196.06464659571648,0.07242634057998656,45506994.49029416,4.887886281539292
160.59631499648094,165.4095140504837,220.26993618607523,0.1931514883041382,49989542.11053714,5.745182298452314
210.14522406458855,145.2027260529995,213.0589899301529,0.12764370441436768,15170716.858173236,5.6024295814474705
138.022690564394,125.84928052186967,188.74524232149125,0.058935676813125615,56501302.92136483,5.353842348562289
268.22251653671265,172.91666845560073,207.7691584020853,0.08090156674385071,-99821143.56257305,6.0108365301564515
179.65913751721382,164.58444231390953,288.27237448096275,0.13128253936767578,133592156.84513018,6.080742869057957
160.66238379478455,105.73120539605618,136.90553508996965,0.11656080245971678,153967424.70941514,5.053883420118201
243.21163016557693,160.31622574925422,284.817307895422,0.12643376350402832,-39844565.10496631,5.0301856652466626
178.4496513903141,117.6187891894579,172.374582991004,0.07020617246627808,6893988.828757554,5.12301594352123
184.90921318531036,153.74961507558822,177.58920284807684,0.13364775419235228,17924218.48477237,5.5572660314174245
206.1484759747982,154.6662238073349,201.24497853219512,0.09854692935943604,14123952.857821658,5.433976842814934
154.9066306054592,140.44432128429412,203.44948519170285,0.09263842344284057,86079972.98901811,4.74645456719036
222.90179538726807,162.19886168718338,196.51598381996158,0.05959476709365845,-18312546.514558233,5.97197980628517
242.9263110756874,177.23664832830428,191.95328804254532,0.1183956480026245,64620675.82439959,5.212367576360868
146.08042657375336,136.39349586606025,155.2789886534214,0.07058874130249024,24573880.16514521,5.29575025693761
124.91667866706848,109.1254847764969,193.8763851195574,0.09501706719398498,36753726.29532926,5.257041400780394
200.5180501639843,206.76153964877128,274.08713749945167,0.09879376769065856,7333704.206722863,6.041957091043269
161.1363018155098,112.07171659469606,159.11374230086804,0.03224935650825501,11496539.1973673,5.089819641713601
175.53748163580894,149.56200769662857,206.7513229072094,0.10139615774154663,-34614760.937162936,5.622465120395529
201.18593567609787,154.00067449331283,192.89253515303136,0.05681710720062256,-24730853.132358752,5.038533448936506
169.95259714126587,148.99488240480423,255.77522075772288,0.10601088047027588,-13260582.324093543,5.486519068392228
182.6133950650692,124.61575056791307,202.56886857748034,0.15256691932678224,-67238797.70632371,5.169726741471249
169.62642750144005,132.53022764205934,226.59280681908132,0.05430395781993866,70466771.17936924,5.48651156008343
182.53797701001167,161.44068407177926,178.54739987254143,0.003095217943191529,-24760258.871601187,5.2845484731355175
184.56979966163635,178.92752406835555,278.9690250903368,0.19700284004211427,-58514865.588175505,5.626631159162372
230.81085777282715,180.11552885651588,212.20950291752817,0.1427854537963867,22401676.65014647,5.514391442954948
207.18655547499657,151.55395122408868,244.6589290648699,0.15637674331665039,-35244345.3542766,5.579399912828082
181.68776485323906,167.95616557478905,217.62146731317046,0.03414080739021301,11252155.212286431,5.002904455078619
210.3275507092476,150.8147092461586,190.52087278068066,0.1305802011489868,13987824.282343164,5.3205523461254876
144.19758954644203,155.80102004408838,205.42313217222693,0.1505436611175537,64560512.075297385,5.297655988294945
243.43493646383286,164.23662532806395,145.3043284803629,0.10301748514175416,-21650675.70692923,5.454466864291405
147.7668216228485,133.943188983202,156.611328881979,0.0865021014213562,-19849348.799893893,5.077920964270504
176.54082149267197,130.9767680001259,195.53769451081754,0.1444474220275879,50584254.33688253,5.480995251579445
189.37833005189896,122.03945680737496,209.47841376364232,0.13299956798553467,-13488968.53799235,5.513079021223375
172.28234800696373,156.10901910066605,167.21202499866487,0.05249074518680573,39251099.67142545,5.042136441158963
168.03306239843369,153.6423426246643,207.01227061450484,0.12435675382614136,-43339651.93811253,5.1407144064331005
150.88748303055763,133.5107957661152,181.84355933368207,0.09510785102844238,-22299052.587834112,5.780018246347358
173.70894345641136,137.18905809283257,214.5016361296177,0.11090420246124266,31226525.03645569,5.0947129904336155
150.63155654072762,143.03404990911483,177.6490933120251,0.04412150025367737,-10153654.527179264,5.44934803646129
105.9099678248167,109.86669552981854,120.16933393478395,0.1266012978553772,73758042.14595467,4.824706851012209
193.313129901886,177.29956065654756,222.86484803259376,0.07065086841583251,-38583609.634408206,5.479238920244093
167.30508989095688,122.57556835651398,174.2799733221531,0.1227755880355835,-32831896.621843986,5.128595689573011
172.96840485930443,170.39252143502236,238.49851026535035,0.06546016275882721,-21290930.74482035,5.108955562683135
180.66813641786575,136.87574997901916,203.49570080637935,0.044540597200393675,77263324.27999765,5.2150072832108165
236.5671381354332,124.42371016979219,163.82356870472432,0.03512811422348022,51480625.355637595,5.1746794671230765
